Playlist-ID,Title,Language,Label,isTruthWorthy
2IJIz1nWV5MpPsxqdHTg7e,Calm russian vibe,russian,calm,1
6C0TXQcFQlP7SvUL8aqokI,"Gypsy Guitar - Spanish Guitar ( Flamenco ), Russian Gypsy, Roma Melodies.",russian,calm,1
7uw5ohiIRp8JsoKXJARA5C,Russian Calm-Mood,russian,calm,1
3pKz8vaugjfZOd83oalZoZ,Calm russian music,russian,calm,1
35jEhoP4pjirQ4Xjq3rwqo,Calm Russian,russian,calm,1
30TJNT5AembTHrP1YDlhbt,calm russian music,russian,calm,1
6WHhOfv49UFPZcUV52UBiX,calm russian,russian,calm,1
557vHXA6wm2CorimteSczz,Calming russian stuff,russian,calm,1
7jXGt7RdTbCZVSlrTHb3X4,Russian calm 😌💕,russian,calm,1
0MkajG8z1Z6TMXomXv2hSB,Calm down and cry...,russian,calm,1
5Quin4gwlAlHCzhszRXnyG,Russian hits,russian,calm,1
0jlU8e1VDOTWqgFRSnUBsx,Calm Russian,russian,calm,1
3fDKNPwGF1RIa0o19kG525,Russian,russian,calm,1
5lr6B8PArRfSILackRHNaP,calm russian songs,russian,calm,1
4Uwhx42GOozqvUzSbdqni7,Russian calm,russian,calm,1
5oAgVTrPqi03yTVILOxJOS,in my feels but make it russian,russian,calm,1
7uenHgM4ny35d30YcveB2a,Read book with Russian songs,russian,calm,1
0QUDF08KKZnz0omQDfCOer,Russian,russian,calm,1
5hmxGVyY9taK32dcbVCyG3,feel calm russian,russian,calm,1
7gXHK8DZ1loxy3Vd17koJd,Calm Russian,russian,calm,1
