Playlist-ID,Title,Language,Label,isTruthWorthy
3G69estffdpaliLQHBnPUa,Calm Spanish Music ,spanish,calm,1
3yOBvh72cK78MRQCdrbUrc,Calm Spanish Songs,spanish,calm,1
5Wap7RyME0jHlTk6hfPy49,Calming Spanish Guitar,spanish,calm,1
5fNjknU904edWm0KoXPNji,Calm Spanish Guitar,spanish,calm,1
6owtugW39ISLkCfpQgDtfi,Calming Spanish music,spanish,calm,1
3QYgrw2MrJzyCdYOLGHcMq,Spanish Guitar Lullabies ,spanish,calm,1
6C0TXQcFQlP7SvUL8aqokI,"Gypsy Guitar - Spanish Guitar ( Flamenco ), Russian Gypsy, Roma Melodies.",spanish,calm,1
1p78Ga9Or5U2olKmRW4qCx,Calm Spanish 💫,spanish,calm,1
7qIOhqvvJEj7bnHDXNnYjF,Calm (Spanish),spanish,calm,1
54wALdBPk47bRlzgo9G00g,"Calm-English,Spanish",spanish,calm,1
0M2cSp2TgFPJQeWcXRX9XN,Reggaeton Dance Party 2021 // Bad Bunny Summer Latino Hits Otro Trago China Remix Daddy Yanke Keii,spanish,calm,1
2wrGsN0z2DhQy9Wtmh3u0t,Calm Spanish music ,spanish,calm,1
4Elljt9W0bNvCK1UtbKVVV,Spanish Calm,spanish,calm,1
5KxQ5pHKJSpfYvwXbLBWLr,My calming Spanish ,spanish,calm,1
5yTKgBLwYaxzM59jEEqJLO,Calm Spanish ,spanish,calm,1
3SHlS5J6Mdu27p1qcD8KzX,SPANISH CALM,spanish,calm,1
391ATdzaCBaDUQp0pQNwFh,sleep/ calm playlist:),spanish,calm,1
1ZciYgzNnbXaQRW7tjT6NM,Calm Spanish Nnz,spanish,calm,1
68m7k4Vr9k6UeuNDTvIFz5,Semi-calming songs,spanish,calm,1
2IdwRvbhbUfF1CDEGxD81H,keep it calm but in spanish,spanish,calm,1
