Track-ID,Title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist
5uaIbU3oHHcSOK6WFNK5nj,Apna Time Aayega,0.766,0.618,11,-8.552,0,0.124,0.0187,0.000115,0.181,0.513,95.054,140463,4,16JGZG9gKRs6jtbz2kb80b
1UWacd8x8tPPwmrPB1MoBI,Ae Dil Hai Mushkil Title Track,0.495,0.654,3,-6.639,0,0.0679,0.713,0,0.165,0.35,123.896,269032,4,16JGZG9gKRs6jtbz2kb80b
5FihcmME7NlwW8KbYOaHVH,The Breakup Song,0.818,0.93,11,-2.982,1,0.247,0.33,0,0.658,0.831,113.988,252632,4,16JGZG9gKRs6jtbz2kb80b
0Bz7dfqPY4JOGZO3O1j8Wh,Bulleya,0.552,0.769,2,-4.504,0,0.0465,0.497,0,0.112,0.702,86.957,348966,4,16JGZG9gKRs6jtbz2kb80b
3fPgIknlkDWXs1l2noKZbp,Kar Gayi Chull,0.827,0.737,11,-5.473,0,0.0764,0.0316,0.000322,0.211,0.873,121.99,187711,4,16JGZG9gKRs6jtbz2kb80b
7heMX7gyHP0mhTlNgd7Lxd,The Humma Song,0.721,0.65,0,-6.95,0,0.135,0.0115,0.00014,0.34,0.392,130.487,179658,5,16JGZG9gKRs6jtbz2kb80b
646OD5HyK4hBHQ04oW8tDJ,Kala Chasma,0.83,0.6,9,-7.826,1,0.0633,0.0039,0.000101,0.263,0.369,105.975,268302,4,16JGZG9gKRs6jtbz2kb80b
4bD9z9qa4qg9BhryvYWB7c,Kabira,0.59,0.555,2,-6.861,1,0.0271,0.481,0,0.192,0.191,84.027,223460,4,16JGZG9gKRs6jtbz2kb80b
0eFNjt04kVq35UGIhsH3Ao,"Manma Emotion Jaage (From ""Dilwale"")",0.762,0.822,0,-2.758,1,0.0425,0.0284,0,0.367,0.467,101.998,209412,4,16JGZG9gKRs6jtbz2kb80b
0hgTkEDY9oIG5DPKN39KHP,Ude Dil Befikre,0.704,0.952,0,-2.331,0,0.0333,0.0408,0,0.335,0.902,106.99,231327,4,16JGZG9gKRs6jtbz2kb80b
1vSXwYeKnzsVvekSpqVabx,Chikni Chameli,0.693,0.956,1,-5.012,0,0.071,0.289,0,0.294,0.665,90.005,301587,4,16JGZG9gKRs6jtbz2kb80b
6fORBVECjNDJ1gdq5uuoAz,Munni Badnaam,0.696,0.95,1,-4.942,1,0.0963,0.0873,0.000345,0.0944,0.743,125.029,305017,4,16JGZG9gKRs6jtbz2kb80b
4AoQVhME8Ko6LNm4lV2wwQ,Hookah Bar,0.73,0.656,11,-5.07,1,0.0294,0.00797,0.00271,0.108,0.743,131.04,254351,4,16JGZG9gKRs6jtbz2kb80b
5sqPE9h98DkO5ms20NUiUg,Tamma Tamma Again,0.724,0.848,2,-4.724,1,0.0522,0.0787,9.16e-05,0.104,0.781,123.02,199265,4,16JGZG9gKRs6jtbz2kb80b
3TAhWtQnpoL5Vl9VQPl9fU,Senorita,0.701,0.681,9,-6.442,1,0.0466,0.134,0,0.064,0.81,122.539,229576,4,16JGZG9gKRs6jtbz2kb80b
6qCNaRRr5xJALfNJvh0NAw,Bom Diggy Diggy,0.782,0.827,11,-4.219,0,0.0627,0.159,0,0.226,0.498,104.032,238530,4,16JGZG9gKRs6jtbz2kb80b
0Ms1V2flsPzr2bVqImelCB,Dilbar,0.725,0.912,9,-3.665,0,0.0851,0.155,7.68e-05,0.107,0.674,104.054,184433,4,16JGZG9gKRs6jtbz2kb80b
6N6mJlsjYRV0yoMSPS5JiQ,The Wakhra Song,0.788,0.894,5,-2.661,0,0.198,0.339,0.000253,0.0649,0.588,89.945,196000,4,16JGZG9gKRs6jtbz2kb80b
6w0clr3NMupCsyExaJaTrz,"Dil Cheez Tujhe Dedi (From ""Airlift"")",0.698,0.666,2,-6.921,0,0.0487,0.0205,0,0.376,0.562,105.053,271330,4,16JGZG9gKRs6jtbz2kb80b
2SRv30X7NoYRZB62dX0UzH,Dj Waley Babu (feat. Aastha Gill),0.959,0.606,1,-5.754,1,0.219,0.345,0,0.126,0.783,110.0,169080,4,16JGZG9gKRs6jtbz2kb80b
3Q8yDujnXxwRiZ4p6VqY7b,"Kar Gayi Chull (From ""Kapoor & Sons (Since 1921)"")",0.827,0.737,11,-5.473,0,0.0764,0.0316,0.000322,0.211,0.873,121.99,187711,4,16JGZG9gKRs6jtbz2kb80b
6Urx6YPvSFJ4uRnY2jDjEO,Chammak Challo (Remix By Dj Khushi),0.779,0.887,5,-6.69,0,0.0509,0.0721,0.0133,0.196,0.73,133.998,258043,4,16JGZG9gKRs6jtbz2kb80b
0biCSADTAblvLTLtJz4pXO,Nashe Si Chadh Gayi,0.799,0.784,4,-5.207,0,0.0519,0.11,2.84e-06,0.227,0.26,96.953,237876,4,16JGZG9gKRs6jtbz2kb80b
52hTNCMZSb80PePjObPGP2,Je T'aime,0.654,0.668,6,-6.532,1,0.043,0.591,4.57e-05,0.105,0.763,121.996,241068,4,16JGZG9gKRs6jtbz2kb80b
4eu27jAU2bbnyHUC3G75U8,Badtameez Dil,0.806,0.932,2,-2.228,0,0.0684,0.24,0,0.216,0.792,106.021,252760,4,16JGZG9gKRs6jtbz2kb80b
1YTU6H9mLYZZMP78x5V7KC,Lovely,0.51,0.919,8,-2.926,1,0.149,0.0831,2.61e-06,0.0422,0.673,111.989,220714,4,16JGZG9gKRs6jtbz2kb80b
1TaeNA6443E9MHtbGXV0s8,"Sunny Sunny (From ""Yaariyan"")",0.794,0.878,11,-7.502,0,0.078,0.00138,0.029,0.197,0.352,129.978,243319,4,16JGZG9gKRs6jtbz2kb80b
0wEgK7RKkB1R6sR5Nrwh5g,Fevicol Se,0.752,0.822,5,-8.471,0,0.102,0.131,0,0.27,0.917,119.966,289866,4,16JGZG9gKRs6jtbz2kb80b
6XjJXPP3UiGtAQpYkD01c0,Chittiyaan Kalaiyaan,0.793,0.887,7,-5.285,1,0.0954,0.0962,6.39e-05,0.623,0.602,100.007,246100,4,16JGZG9gKRs6jtbz2kb80b
5KeTlCr0vFeNZwpc4T0hVN,"Dil Dhadakne Do (From ""Dil Dhadakne Do"")",0.682,0.881,10,-3.943,0,0.0858,0.0214,0,0.114,0.792,159.952,228375,4,16JGZG9gKRs6jtbz2kb80b
18e3XXYCv4Tx8uUl1mP3CN,Balam Pichkari,0.732,0.944,0,-4.115,1,0.09,0.209,0,0.401,0.957,120.02,288903,4,16JGZG9gKRs6jtbz2kb80b
7gw6rSstVq9CmuQAaZhWm8,Asalaam-e-Ishqum,0.765,0.908,6,-5.043,0,0.052,0.0605,3.23e-06,0.233,0.891,106.993,278988,4,16JGZG9gKRs6jtbz2kb80b
5kg1GacbhgQfLcbgOBRO9c,Tune Maari Entriyaan,0.794,0.865,8,-5.333,1,0.215,0.149,1.38e-05,0.0468,0.779,126.658,313365,4,16JGZG9gKRs6jtbz2kb80b
2nqW35XEeEI4HI8bDTcXFU,Gf Bf,0.776,0.499,7,-6.89,0,0.0521,0.246,5.91e-05,0.18,0.463,93.989,314491,4,16JGZG9gKRs6jtbz2kb80b
3f26GAn3yOXfoclLyN8AdD,Offo,0.799,0.609,3,-6.729,1,0.0448,0.0158,0,0.0642,0.758,130.031,213942,4,16JGZG9gKRs6jtbz2kb80b
3V3QbgrOZKtFv5MXzAAdZr,Locha-E-Ulfat,0.705,0.74,0,-5.82,1,0.0505,0.0365,0,0.487,0.928,106.953,288462,4,16JGZG9gKRs6jtbz2kb80b
3uL1IBFhg52VcQqOwAG01E,Mast Magan,0.659,0.774,7,-7.014,1,0.0372,0.606,0.000333,0.185,0.883,82.995,280161,4,16JGZG9gKRs6jtbz2kb80b
76kkAnqj73aaP5xkrfpWb4,When In Rome - Mark Sixma Remix,0.61,0.854,11,-5.118,1,0.0928,0.00524,1.25e-06,0.127,0.576,127.953,189844,4,37i9dQZF1DWT6anPZiHuxz
1pUTByFRmxwuFIl18NpUB8,The Logical Song,0.612,0.982,6,-2.984,0,0.0496,0.00618,0.433,0.274,0.175,128.122,162187,4,37i9dQZF1DWT6anPZiHuxz
4mcqoqwKbBa4LAXq4mvwQI,We Found Love - Sidney Samson Remix,0.628,0.964,1,-4.706,0,0.0957,0.00101,0.552,0.238,0.367,130.029,159544,4,37i9dQZF1DWT6anPZiHuxz
16QhpULFOW9fE2yvXsJV6A,Takeaway (feat. Lennon Stella) - Andrew Rayel Remix,0.468,0.83,8,-3.301,1,0.0727,0.000187,0,0.0875,0.162,126.835,180000,4,37i9dQZF1DWT6anPZiHuxz
2wujE7n4hv8SGRjq2ARtks,No Stress - Tommie Sunshine & MureKian Remix,0.653,0.976,3,-3.811,0,0.107,0.0177,0.0931,0.267,0.38,124.02,166644,4,37i9dQZF1DWT6anPZiHuxz
1sR0NZ42EGY6bW2lidiC45,2 The Brain,0.517,0.725,1,-3.038,1,0.0428,0.305,0.242,0.087,0.161,140.229,205845,3,37i9dQZF1DWT6anPZiHuxz
6Vrs3ELdoBn41JnXBlh243,In My Head,0.552,0.849,2,-4.899,0,0.0916,0.00704,0,0.452,0.261,137.873,164783,4,37i9dQZF1DWT6anPZiHuxz
3m0BCyPaS5BN5iQgtdPr0u,Perfect (feat. Haris) - LUM!X Remix,0.723,0.87,6,-4.96,1,0.0354,0.00266,3.5e-06,0.0581,0.509,127.932,187074,4,37i9dQZF1DWT6anPZiHuxz
1E1q0z9Xdvbs5HCHUoRe9a,Are We Alone,0.561,0.865,0,-4.974,0,0.0645,0.0343,0.000585,0.33,0.391,142.013,192052,4,37i9dQZF1DWT6anPZiHuxz
11VqZrskzYRWEjGqtqC4FP,Yakisoba (feat. Wavehi),0.758,0.898,2,-6.372,1,0.213,0.1,3.73e-06,0.0509,0.504,149.969,173275,4,37i9dQZF1DWT6anPZiHuxz
4nq3CzOHpNlzf1297h4bdB,Die Young - Original Mix,0.516,0.981,8,-2.983,0,0.0782,0.00132,0.0949,0.192,0.545,160.127,205500,4,37i9dQZF1DWT6anPZiHuxz
6e2kwYm4qe4hFbOkLm4nbF,Vibe Check,0.736,0.945,0,-0.751,1,0.145,0.0176,0.00486,0.315,0.391,149.901,169600,4,37i9dQZF1DWT6anPZiHuxz
6YnkswUQX2GXOhywMsBDqp,Family - Frank Walker Remix,0.663,0.846,8,-4.015,0,0.0801,0.192,0,0.173,0.59,123.993,185813,4,37i9dQZF1DWT6anPZiHuxz
7eZ982qmcRz36ljem6FpVx,Crazy,0.668,0.847,7,-5.232,1,0.0633,6.94e-06,0.894,0.27,0.269,126.103,139486,4,37i9dQZF1DWT6anPZiHuxz
5iA3mtmjnwWLHLwKhFiGct,Blast Like,0.708,0.926,8,-2.881,1,0.276,0.0526,0.0261,0.325,0.41,74.985,149725,4,37i9dQZF1DWT6anPZiHuxz
3kdry6QRxyulMFBUEXGEXV,Follow Me!,0.679,0.887,2,-7.501,1,0.0784,0.00503,0.0308,0.0867,0.412,137.994,180000,4,37i9dQZF1DWT6anPZiHuxz
6FGOmHGVnTVjBPjcrhqxC0,Bounce & Love,0.735,0.964,7,-3.18,0,0.0595,0.00246,0.349,0.125,0.436,128.063,165030,4,37i9dQZF1DWT6anPZiHuxz
4zqJQSBQ0CzWn7ZF9P7ohk,Rio (feat. Digital Farm Animals) - Hush Remix,0.624,0.782,5,-5.642,1,0.111,0.0462,0.00653,0.355,0.503,160.04,258000,4,37i9dQZF1DWT6anPZiHuxz
7qfUtR9mhwE3Eijc35SH9c,Nunchi,0.578,0.635,8,-6.676,1,0.0508,0.119,0.0381,0.0657,0.487,79.999,227482,4,37i9dQZF1DWT6anPZiHuxz
4kVcwZlhWH2idgqLHeY6GZ,We Dun Care,0.712,0.87,2,-4.047,1,0.211,0.000791,0.000899,0.485,0.155,159.992,223003,4,37i9dQZF1DWT6anPZiHuxz
3DLvDnN0C8pAHpCZK0H9kK,Switch It,0.603,0.885,5,-1.26,0,0.0483,0.0787,0.0939,0.0686,0.302,149.956,268800,4,37i9dQZF1DWT6anPZiHuxz
0ywzvARVqoxQOJpaswRe9E,365 - Zedd Remix,0.784,0.595,2,-6.816,1,0.0413,0.00476,0.00727,0.059,0.183,124.019,236287,4,37i9dQZF1DWT6anPZiHuxz
7Giip1UJawrbpp4HqzFBFY,Down With Your Love,0.529,0.995,7,-0.503,1,0.0931,0.00428,0.179,0.41,0.268,149.987,299318,4,37i9dQZF1DWT6anPZiHuxz
0Smq3v26IgZA7hM5jPPFuM,Dizzy,0.548,0.7,2,-7.048,1,0.122,0.0731,0.00737,0.102,0.103,159.939,177000,4,37i9dQZF1DWT6anPZiHuxz
5tyLZo7DHqD5TcZZCgAIcW,Fire - Price & Takis Remix,0.485,0.845,1,-4.679,0,0.193,0.0246,9.34e-05,0.275,0.0741,160.083,186000,4,37i9dQZF1DWT6anPZiHuxz
20LJH0ZlRl72VJAez38FTc,Riot Call (feat. Nevve) - Snuf Remix,0.601,0.905,8,-5.044,1,0.158,0.369,0.000113,0.163,0.442,81.956,203360,4,37i9dQZF1DWT6anPZiHuxz
5krNtVmwuJ6wIUTwvG343G,Don't Let Me Go - Lucas & Steve Remix,0.593,0.867,4,-6.404,0,0.115,0.00914,0.000472,0.922,0.289,128.026,211250,4,37i9dQZF1DWT6anPZiHuxz
