Playlist-ID,Title,Language,Label,isTruthWorthy
7hmPbLM6z61ozbsCpTM8XW,Energetic meditation,india,energetic,1
62STsAGVHka0Z74rG7W9e6,Bollywood Workout,india,energetic,1
3iIkyiOXz7QjYTwYp5x5c2,indian hype ,india,energetic,1
7m1Qrq026MWE0duO5fnQj3,Indian energetic songs,india,energetic,1
2bc2eADxmKWan7S5apCz5T,Best Energetic Wake Up Indian Songs-2021,india,energetic,1
0s5RKs4GuyCfFM05LO7bgx,Energetic Songs Indian and mixes,india,energetic,1
7r2qn0YsRs9X2Nr3ERckaK,Tamil and Telugu songs,india,energetic,1
11Zk3tiMco0SwnS5Qdykx7,Mumbai (Bollywood),india,energetic,1
6UGCZMVlhp0iULajtXPZKk,Indian Chill DLL,india,energetic,1
6hHMLyki93neL718LvvfkT,Energetic Indian Hip Hop,india,energetic,1
4PsOQ57eZAAHeGAGWP8Yk0,MOOD Playlist (Downbeat & Mellow),india,energetic,1
2L6OletMHFfFb9tSCrNnzy,MOOD Playlist (Downbeat & Energetic),india,energetic,1
