Playlist-ID,Title,Language,Label,isTruthWorthy
2LD0l9bUaofMMkEMbCUDqd,Happy French Music,french,happy,1
0xzT1RuEpDUpMol9uCb7Ol,Happy french songs,french,happy,1
7mqzzg1k5AF1JxLo6faiEB,Happy Frenchcore 🤪,french,happy,1
6wwErTjmLOS9euZxnUz2XQ,French Upbeat Happy Cafe,french,happy,1
1t6SwKhF21jaTSFhnuhWQO,Happy Hardstyle 2012 - 2021,french,happy,1
41OKIwCXXulnuEmlDTXlFU,Cool french & chill 🍸,french,happy,1
7yqIkVH8sDA0w9i5RGpXTi,Happy French Cafe Music,french,happy,1
42z8bBc3qD9EBPrTypWbKS,"Hardstyle, HandsUp, HappyHardcore, Frenchcore",french,happy,1
65zGpzMkFg4tP4kPd0Ymwa,HappyTek/AcidCore/FrenchTek,french,happy,1
6j3oJZzqv0jpF4vOSP48XQ,Happy French Time 👀,french,happy,1
1T3eKioWIljdngXN4SofbA,HAPPY FRENCH MORNING ,french,happy,1
67dQ3j18vv6gJ2t8ZWd6pN,Happy Frenchcore 2012 - 2021,french,happy,1
0Osmkii7SY9ydgcvoE2aJI,Happy French,french,happy,1
37qEgTkkm5oCRfyoMmhkEW,Nederlandstalige beukers🥳🔊🇳🇱,french,happy,1
4ZE8pAldjb0FIgxJ2UCB6j,French Happy Indie ,french,happy,1
1QTLu1yizw9uTSGTfXY76E,Old French Songs ,french,happy,1
0Ba3fdtZ00QWyM3HzpP1of,"Harder Stylez (incl. Happy, French and Raw)",french,happy,1
5IT5rBk9BjdrknOOsUVRKf,Happy French Songs,french,happy,1
0VBg0iGelPm6Lhwee5HgfB,HAPPY French Morning - Romantic French Cafe Accordion Music - Music to Wake UP,french,happy,1
1DtPraVtFQPwhkWL1t23UQ,"BOUCAN - LOW FUN (Happy, French, Sunny etc)",french,happy,1
