Playlist-ID,Title,Language,Label,isTruthWorthy
49BPHtbj1R0gbluVb8g9Z9,Russian war music (Sad and Happy),russian,happy,1
2tsR529ASSdMXx8TyWVXUn,happy russian songs,russian,happy,1
28BTW2PGOEN4lKVTLVvLkb,Happy Russian,russian,happy,1
6FxUXHOHr28N4gGT3sJHil,Russian Happy 🇷🇺,russian,happy,1
6Iy21yxBVsvT2aTqdB9Sxq,happy russian ,russian,happy,1
2NknwnedeVnI4Df7oCbAAa,sovietware,russian,happy,1
0eBPRcmGyo5KUDLIkCqvBs,Russian happy birthday,russian,happy,1
4VIjCj8Fbpm9XWXKQba6l7,Happy Russian playlist ,russian,happy,1
1McFH8mwDrTWU7cQvm4Udn,happy with russian music,russian,happy,1
64jedB6sgXYmYQ0Wg33O4B,This Is Grust200,russian,happy,1
5VwargLDRy1WeAwNBNdCUW,Russian Rouelette With Happy and Sad Songs,russian,happy,1
7qnYuFVDDdLCEVpN2dCL3f,"Rave, Trance, Happy Hardcore, Hardcore, Hardstyle, Hardbass and more",russian,happy,1
6INycTfgjqsFeXa0zB4KMO,Bathtub Toaster Rhymes,russian,happy,1
66QmmDuk3LRoyyTuIBuiyF,russian parents approved ,russian,happy,1
5RIJfVkx60G7l4vqeHRrlc,С Днём рождения happy birthday,russian,happy,1
5EflGrjNSZNhqJExVE3rhp,Happy Birthday - Russian Styles,russian,happy,1
646vTHFQxeEAucKA4DNgLL,reading russian literature  ,russian,happy,1
3gP11ZZGcC6jb8m0zns1Nb,Russian Roulette,russian,happy,1
1mJ52DqwsXXVCb6LzD8yDs,Mix,russian,happy,1
0qfcd9l6EGKhxgq585MQQW,Trīs strīpas ,russian,happy,1
