Playlist-ID,Title,Language,Label,isTruthWorthy
1aTfe08sYQNkfCNQHX91yn,nhạc vui vẻ để hát theo :)),vietnamese,happy,1
6n6P5ic2NijyqBPfCGTfDd,Nhạc việt vui,vietnamese,happy,1
1S6mANOHsxfRkML7p6c4lS,Nhạc việt vui chill,vietnamese,happy,1
5Umaj8zUzWFPqnyK2eKnNS,Nhạc Việt - Vui Nhộn,vietnamese,happy,1
3RA3aks1rpvpx6tI4bs8CV,Nhạc Việt Vui,vietnamese,happy,1
0uiQp8wfvh613HQNiFsubs,nhạc việt vui,vietnamese,happy,1
2vg0xqwgFHHYMEaah9NjBc,Nhạc Việt vui tươi,vietnamese,happy,1
2hRYqn9x18W84GJAb7nsXX,Nhac vui VietNam,vietnamese,happy,1
3MkixfwTkOBrgVsgfGLBI8,Nhạc Việt vui tai,vietnamese,happy,1
2RII9TZpuiZBxllBrm4zo3,"Nhạc Việt nè( có nhạc buồn,vui, chế,v.v)",vietnamese,happy,1
