Track-ID,Title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist
3cE5LlJQWsP1XlylVs0Srh,Ngủ Đi,0.592,0.407,4,-10.365,1,0.025,0.781,0.855,0.116,0.186,109.969,226926,4,1aTfe08sYQNkfCNQHX91yn
3ckraK42KnTt0Mk0b8pmA2,Đâu Cần Một Bài Ca Tình Yêu,0.524,0.663,11,-5.473,1,0.0729,0.692,8.54e-05,0.0824,0.568,93.381,195514,4,1aTfe08sYQNkfCNQHX91yn
4stGDwiLe6DYjxCDSo4Xqf,Chờ Anh Nhé (feat. Hoang Rob),0.409,0.353,0,-7.286,1,0.0263,0.763,0,0.113,0.157,82.032,322499,4,1aTfe08sYQNkfCNQHX91yn
1ecVks3GJX8U67DvhVDVBn,trời giấu trời mang đi,0.438,0.408,3,-9.857,1,0.0705,0.688,0,0.121,0.373,92.053,253500,4,1aTfe08sYQNkfCNQHX91yn
0n5ljzmTfURQEAY5Bh6ed5,SAY,0.709,0.388,8,-6.058,1,0.343,0.662,0,0.0974,0.712,76.787,177039,4,1aTfe08sYQNkfCNQHX91yn
2AiZm17zqkV7llT3SHz4Nu,Bài Này Chill Phết,0.789,0.488,9,-5.662,0,0.297,0.32,0,0.0847,0.29,159.986,276001,4,1aTfe08sYQNkfCNQHX91yn
7AzGrpsT9kTI6OUdMXlHWe,LẦN CUỐI (đi bên em xót xa người ơi),0.273,0.283,0,-10.462,1,0.0278,0.668,5.17e-06,0.0941,0.138,169.56,222847,4,1aTfe08sYQNkfCNQHX91yn
0ZaHfA4m7SlE2QHA3KNoXj,Em Có Nghe,0.875,0.45,7,-6.277,0,0.048,0.166,7.1e-06,0.116,0.456,94.994,255129,4,1aTfe08sYQNkfCNQHX91yn
6qtrL9Np30qyQpy1Od4AmG,anh nhà ở đâu thế,0.814,0.453,10,-7.204,1,0.11,0.657,1.34e-06,0.245,0.566,125.997,216000,4,1aTfe08sYQNkfCNQHX91yn
3clfEGdaeSmWM6pDekmZ2G,đen đá không đường,0.531,0.362,8,-8.663,1,0.0698,0.654,9.58e-05,0.0921,0.592,139.47,180500,4,1aTfe08sYQNkfCNQHX91yn
5Nd0com2T4rHRZO2YFwD2n,Ngày Tận Thế,0.602,0.829,8,-4.49,1,0.304,0.752,0,0.357,0.61,89.989,232166,4,1aTfe08sYQNkfCNQHX91yn
2z9iLlNBt1aLZUCFgXby97,CÓ CHẮC YÊU LÀ ĐÂY,0.746,0.724,10,-3.976,0,0.0498,0.119,2.09e-05,0.0506,0.596,95.003,202105,4,1aTfe08sYQNkfCNQHX91yn
3HJ0EW4kd9S1NRCm039Fsk,Ke Cap Gap Ba Gia (feat. BINZ),0.723,0.527,3,-6.355,0,0.0379,0.613,0.0265,0.385,0.497,99.965,231505,4,1aTfe08sYQNkfCNQHX91yn
696w9BHmEY62myVCSDyrYW,Có Em Đời Bỗng Vui,0.656,0.331,2,-9.88,1,0.0302,0.363,0,0.201,0.5,105.015,247429,3,1aTfe08sYQNkfCNQHX91yn
4bCuBkeVRofawnFkGu05fu,Cần Gì Hơn,0.711,0.559,11,-7.891,1,0.0447,0.576,5.89e-06,0.11,0.68,93.022,206890,4,1aTfe08sYQNkfCNQHX91yn
014DA3BdnmD3kI5pBogH7c,Cứ Chill Thôi,0.781,0.608,8,-8.452,1,0.0408,0.217,3.63e-05,0.158,0.609,101.017,270000,4,1aTfe08sYQNkfCNQHX91yn
5mBWIm9EGnhZRYBYgAS72m,De Mi Noi Cho Ma Nghe,0.707,0.851,0,-3.684,1,0.0654,0.465,2.92e-06,0.138,0.738,155.966,193877,4,1aTfe08sYQNkfCNQHX91yn
79xFFmGKtEyky0I2G9U9Jg,yêu thì yêu không yêu thì yêu,0.928,0.482,0,-5.499,1,0.195,0.439,1.13e-06,0.0422,0.667,139.96,190286,4,1aTfe08sYQNkfCNQHX91yn
6MS9ShggpMO7lQMSQz3JhZ,Nep Vao Anh Va Nghe Anh Hat,0.564,0.556,1,-6.273,1,0.0324,0.346,0,0.12,0.354,129.978,269677,4,1aTfe08sYQNkfCNQHX91yn
7AS3f6iaLQ4NZCMZKuhWmy,Bật Nhạc Lên,0.729,0.618,2,-7.546,1,0.316,0.432,2.65e-05,0.268,0.345,89.234,200000,4,1aTfe08sYQNkfCNQHX91yn
7ho5xWwyYi7KJzJxyM1sPJ,CHUYỂN KÊNH (sản phẩm này không phải là thuốc),0.797,0.45,9,-8.311,0,0.036,0.348,5.49e-06,0.0908,0.617,130.076,273807,4,1aTfe08sYQNkfCNQHX91yn
3uleTxQcw8XsMg55LdJVpA,Xanh,0.575,0.8,11,-5.666,0,0.0424,0.156,2.98e-05,0.144,0.274,132.185,294208,4,1aTfe08sYQNkfCNQHX91yn
31Rxc3kfQjI7WpaRKskQs2,Nụ Cười,0.633,0.793,5,-7.075,1,0.0395,0.0921,0,0.0768,0.591,104.97,237714,4,1aTfe08sYQNkfCNQHX91yn
3dTH9e5s7Zd6ofp9j4CUOl,Love Me More,0.759,0.882,6,-5.55,1,0.0805,0.292,2.49e-06,0.0729,0.681,129.993,210462,4,1aTfe08sYQNkfCNQHX91yn
4JAG06G7yoBGAAo4OmCffn,Ôi Tình Yêu Thật Điêu,0.696,0.588,11,-9.018,0,0.0369,0.0113,0.000656,0.0912,0.492,115.089,244174,4,1aTfe08sYQNkfCNQHX91yn
5U30iZBlmxkpHqzb1OSnBS,Yêu 5,0.681,0.578,3,-7.918,1,0.0537,0.732,0,0.104,0.382,95.037,240000,4,1aTfe08sYQNkfCNQHX91yn
734SuCJNSGwTFKadlw3MZ6,Quả Tim Màu Lửa,0.614,0.719,5,-8.35,1,0.0304,0.117,0,0.0792,0.901,149.955,203260,4,1aTfe08sYQNkfCNQHX91yn
1503Da6qbgNifRnRwIjtZe,Vùng Ký Ức,0.504,0.698,7,-6.958,1,0.0273,0.0248,0.00089,0.109,0.421,98.021,296500,4,1aTfe08sYQNkfCNQHX91yn
0Rx4GFPy8ISxPhRwkjl64b,"ex's hate me, Pt. 2",0.653,0.403,0,-8.279,1,0.0577,0.743,0,0.141,0.398,80.056,216500,4,1aTfe08sYQNkfCNQHX91yn
7gxlKu5NBdbOHD5aHBAouf,Cho Tôi Lang Thang,0.756,0.626,8,-8.639,1,0.0729,0.173,0,0.164,0.596,90.083,258785,4,1aTfe08sYQNkfCNQHX91yn
42rme4MN6ki6mXgl4yaZtV,Tầng Thượng 102,0.722,0.446,4,-11.652,1,0.0253,0.496,0.514,0.088,0.343,101.991,237250,4,1aTfe08sYQNkfCNQHX91yn
4HlHNLtfxP7Y5z03j3eNOi,CHẠY NGAY ĐI,0.728,0.806,2,-3.824,0,0.0504,0.423,0,0.0883,0.453,127.02,272508,4,1aTfe08sYQNkfCNQHX91yn
1IyaXs95EqH8emANUrhRwH,Nếu Ngày Mai Không Đến,0.625,0.665,11,-8.709,1,0.0336,0.00342,3.44e-05,0.0804,0.192,124.007,330968,4,1aTfe08sYQNkfCNQHX91yn
4pWF7uyalOeveT6oansXmy,Lạc Trôi,0.639,0.873,9,-3.646,0,0.0399,0.331,0.0326,0.133,0.166,135.062,232889,4,1aTfe08sYQNkfCNQHX91yn
6jcG3yZ0e2CSI6omkYO1ut,Thích Quá Rùi Nà,0.764,0.51,2,-7.47,1,0.0757,0.542,0,0.112,0.616,105.024,178286,4,1aTfe08sYQNkfCNQHX91yn
0AFGP6yJiakwce0evtrbxd,Hoàng Hôn,0.665,0.277,0,-12.457,0,0.0336,0.869,0.000239,0.158,0.236,116.105,250539,3,1aTfe08sYQNkfCNQHX91yn
6ZW5dAY9FXiU1zDCDLpMA1,Cho,0.525,0.434,4,-8.192,1,0.0542,0.538,0,0.308,0.493,97.153,190601,4,1aTfe08sYQNkfCNQHX91yn
4nwdFVU1yT5j9zTaTv1rxk,Mai Mình Xa,0.702,0.177,11,-17.406,1,0.0516,0.807,0,0.109,0.54,87.083,189335,4,1aTfe08sYQNkfCNQHX91yn
4S0uLMXRoAjFfIJOW7A8aW,Nến Và Hoa,0.787,0.652,5,-6.781,0,0.0655,0.239,8.3e-05,0.102,0.394,120.033,166000,4,1aTfe08sYQNkfCNQHX91yn
1AAGvzJRWMTKx7PNfeTvP4,Missing You,0.669,0.403,2,-10.745,1,0.0659,0.538,2.22e-05,0.0949,0.111,105.01,242857,4,1aTfe08sYQNkfCNQHX91yn
08ypyqiix2pzF6RmOfz7Eq,My Everything,0.698,0.594,9,-6.137,0,0.0316,0.44,0.000233,0.225,0.359,122.066,197740,4,1aTfe08sYQNkfCNQHX91yn
