Playlist-ID,Title,Language,Label,isTruthWorthy
37i9dQZF1DWZqdNJSufucb,sad 😔,english,sad,1
37i9dQZF1DWSqBruwoIXkA,sad hour,english,sad,1
3c0Nv5CY6TIaRszlTZbUFk,sad songs 2021 😢 crying and depressing music,english,sad,1
37i9dQZF1DWZQGZ7yvpH00,Sad Sierreño,english,sad,1
37i9dQZF1DX7qK8ma5wgG1,Sad Songs,english,sad,1
4C5u13rggsEdRN7An3A6uT,sad lofi songs for crying yourself to sleep,english,sad,1
4YOfhHpjPB0tq29NPpDY3F,Sad Hindi Songs - a little broken 🥺,english,sad,1
70VaOHyjpsWcmA4gxosExZ,sad songs to cry to,english,sad,1
37i9dQZF1DX64Y3du11rR1,Sad Covers,english,sad,1
37i9dQZF1DX6xZZEgC9Ubl,tear drop,english,sad,1
1nVWPImtwYUYdvCTPHTtpJ,sad lofi songs,english,sad,1
37i9dQZF1DWVV27DiNWxkR,Sad Indie,english,sad,1
0oX1LhMuCp3uCJyuNwgLdF,sad Korean songs,english,sad,1
37i9dQZF1DXd6QWbEewZmM,Sad Cuh Hours,english,sad,1
37i9dQZF1DWT0qByOJYmmJ,Qué Sad!,english,sad,1
0SeSNWEG4O6KCqaj94zcwg,Sad Viet music (nhac viet buon),english,sad,1
37i9dQZF1DXdFesNN9TzXT,Sad Hindi Melodies,english,sad,1
37i9dQZF1DX8Vz2ROLXhTT,Sad 10s,english,sad,1
38BAFacbwA5kGf7iqcW7Wj,sad songs to cry to at 2am,english,sad,1
37i9dQZF1DWZUAeYvs88zc,Sad Bops,english,sad,1
