Playlist-ID,Title,Language,Label,isTruthWorthy
5ytrbPVtmvkmFiZe6Ack3l,sad french(?) music for the soul,french,sad,1
0VxBmrnkopHYlaEqz0GjpV,sad french songs,french,sad,1
07DaBUkB3RNfW7OoEhcOH3,SAD FRENCH RAP,french,sad,1
7zpwm8be9M4MNHh1uveI23,Sad French Songs,french,sad,1
5fw7no86M7kVhI7DfbKbYN,sad french girl,french,sad,1
02gyE4BeCL928KwqJU9FSl,french sad masterpieces,french,sad,1
5si9jyRhbO256vipaOsNn3,Sad French Music,french,sad,1
2YXoHgg2isNwIXVtKiKqEG,Sad Love French rap,french,sad,1
7BIptMr2bZwlx2fF6ZPagO,sad songs but in french,french,sad,1
6GrgNF702lo25vcOes2zpu,French love/sad RAP 2021,french,sad,1
4psVG3LLnGXChs3rD7aBac,🇫🇷🔥French Trap🔥🇫🇷,french,sad,1
2xCUHhVw2Bs9DxM1gXM6rT,sad playlist french 💔😔😭,french,sad,1
593pLdJzf3JYhF262hYCjP,sad rap (french),french,sad,1
2HCoeochJ8pdj15LQgp5Av,Sad song French ,french,sad,1
7pgUmtvHwp9oKcxBSGMpdb,sad french girl,french,sad,1
4EnJlTz42mqiVj8eDKx70l,Sad French Music,french,sad,1
7BWb3rJhzzK5wCRW87aAp5,sad french songs,french,sad,1
2GoJWmQjZVEBLkU10aFUpf,french sad,french,sad,1
6CHSfvHqnXpTFZLYXqLuAr,Sad French Rap😭😢,french,sad,1
0IFfksEVIhtYQ3kfZucUVt,Sad French Rap,french,sad,1
