Track-ID,Title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist
3hkC9EHFZNQPXrtl8WPHnX,Agar Tum Saath Ho,0.562,0.519,3,-8.744,1,0.0326,0.557,0.000268,0.172,0.415,122.925,341055,4,4YOfhHpjPB0tq29NPpDY3F
32U1XMh3DKlm45uvpofhvY,Zaroorat,0.354,0.712,3,-6.109,0,0.0589,0.358,4.19e-05,0.274,0.238,93.345,368852,4,4YOfhHpjPB0tq29NPpDY3F
1eZ9Kq8voa1bnJi3dZD8M1,"Judaai (From ""Badlapur)",0.343,0.373,7,-9.363,0,0.0607,0.745,1.2e-05,0.14,0.252,92.957,271379,5,4YOfhHpjPB0tq29NPpDY3F
1plFCZ6QFAjSRutT02GTCn,"Channa Mereya (From ""Ae Dil Hai Mushkil"")",0.476,0.788,9,-4.821,0,0.0448,0.24,2.64e-05,0.106,0.747,90.066,289333,4,4YOfhHpjPB0tq29NPpDY3F
3eQL03MvTJQkLqXryJ8Fja,"Hamari Adhuri Kahani (Title Track) [From ""Hamari Adhuri Kahani""]",0.223,0.359,0,-7.569,1,0.0312,0.845,0,0.133,0.193,73.059,398799,4,4YOfhHpjPB0tq29NPpDY3F
75p6BrziB5urmwPCeXl3y7,Main Dhoondne Ko Zamaane Mein,0.329,0.45,2,-6.312,0,0.0405,0.594,0,0.13,0.284,80.095,262987,4,4YOfhHpjPB0tq29NPpDY3F
4bD9z9qa4qg9BhryvYWB7c,Kabira,0.59,0.555,2,-6.861,1,0.0271,0.481,0,0.192,0.191,84.027,223460,4,4YOfhHpjPB0tq29NPpDY3F
0up9rhm9qt2LW7cnoDFCMk,Jiyein Kyun,0.393,0.609,4,-5.954,1,0.0415,0.0558,2.22e-06,0.107,0.347,71.377,264963,4,4YOfhHpjPB0tq29NPpDY3F
23CkVQ84EestqfkEy4fhOQ,Baaton Ko Teri,0.524,0.575,0,-6.571,0,0.0294,0.397,1.8e-06,0.269,0.206,89.915,280250,4,4YOfhHpjPB0tq29NPpDY3F
2OwIrzgIzxK2dxn924zD2K,Tu Bhoola Jise,0.472,0.554,2,-8.12,1,0.0325,0.493,0.0181,0.161,0.288,135.882,271714,4,4YOfhHpjPB0tq29NPpDY3F
3dQjCswDedsHNxdaOhcfiz,Aahatein,0.609,0.288,1,-13.371,1,0.0251,0.311,0.000145,0.109,0.301,81.999,267145,4,4YOfhHpjPB0tq29NPpDY3F
1gEHNfJRSXpDVaEicwRRfe,Zinda,0.493,0.418,9,-9.693,1,0.0261,0.436,0.102,0.104,0.22,89.982,241962,4,4YOfhHpjPB0tq29NPpDY3F
6815JZ7XTMyTDIP6DwlAKF,Maula,0.634,0.652,4,-3.743,1,0.0418,0.149,0.000271,0.07,0.314,144.019,308196,4,4YOfhHpjPB0tq29NPpDY3F
2sVzO3L0fdOMVe8wVlM0IE,Jag Soona Soona Lage,0.563,0.71,7,-6.212,1,0.0592,0.0663,0,0.105,0.262,133.873,329429,4,4YOfhHpjPB0tq29NPpDY3F
5doYtCoJ8KpfkFczP3F2ad,Dooriyan,0.52,0.716,7,-6.582,0,0.051,0.612,0,0.11,0.593,122.977,337360,4,4YOfhHpjPB0tq29NPpDY3F
3bZPdEskcnMdepwCaDSJRl,Bin Tere,0.585,0.698,9,-6.261,1,0.0392,0.42,3.59e-06,0.363,0.621,139.831,330360,4,4YOfhHpjPB0tq29NPpDY3F
517bz7zkWELmyL4eZzJ5R9,"Galliyan (From ""Ek Villain"")",0.552,0.75,10,-5.215,0,0.039,0.445,7.37e-05,0.291,0.4,89.999,340400,4,4YOfhHpjPB0tq29NPpDY3F
72ZOE09GdMde5xk9Q4jtHK,"Aayat (From ""Bajirao Mastani)",0.391,0.644,6,-6.97,0,0.0366,0.269,0,0.0976,0.439,184.105,261996,4,4YOfhHpjPB0tq29NPpDY3F
79jYT83v4bMOWEgwjQxSx2,"Ae Dil Hai Mushkil Title Track (From ""Ae Dil Hai Mushkil"")",0.495,0.654,3,-6.639,0,0.0679,0.713,0,0.165,0.35,123.896,269032,4,4YOfhHpjPB0tq29NPpDY3F
4r8JqkhpTb5tzSKKHnVJIJ,Tujhe Bhula Diya,0.644,0.423,11,-8.702,0,0.0324,0.464,0,0.11,0.509,131.903,279429,4,4YOfhHpjPB0tq29NPpDY3F
