Playlist-ID,Title,Language,Label,isTruthWorthy
1MMTixvL60JWHErvs311gb,Sad Indian Songs,india,sad,1
37i9dQZF1DWYztMONFqfvX,This Is Arijit Singh,india,sad,1
0WrPcFaFgkB6zOxLcp11cQ,sad indian hours ,india,sad,1
27MOj5hHk7mnreAdJxNW5i,sad indian music :(,india,sad,1
1AhRFYCjsvRUkJk6jN5lqn,LoFi Indian (Indie/Relax/Chill/Sad),india,sad,1
0fV0BCSBroZHeuXbhH5Jls,Sad Indian Boy,india,sad,1
28emi8PAWoYu3wDnbbeBMv,Indian sad songs,india,sad,1
2j2PSi6isTXewCihClDXhQ,Indian sad and romantic songs,india,sad,1
0e1Y9sRua02Hsc8UJWozni,Indian Sad Lofi Slowed💔🥺,india,sad,1
77EqV4vVALzDcPqrFMJruS,Best indian wedding playlist ever,india,sad,1
163yEhgIUJJF7Xcq0F4j2x,Sad Rap India,india,sad,1
3p6r7jYpa6YICHGMBx3n57,Sad indian Hip hop,india,sad,1
16asNwNkt7Hc4C2l7OgAro,Indian love/sad songs,india,sad,1
5BVDc3DEwo3bDaKpJnuNUk,Sad Indian songs,india,sad,1
2EeXy8Yf7h8l03TaHVuqP6,Super sad indian songs ,india,sad,1
4IF61ctQNemNVyTh0K1PAC,Sad Indian Songs,india,sad,1
7wybjbA6jWG9kNAq4ZDx7M,sad indian ,india,sad,1
3BmhqiPfME4We82MK0zIBm,Old&new indian sad songs❤️‍🩹,india,sad,1
1xCF16l6Un9N7N46RgVNad,bollywood crying scenes,india,sad,1
76xosFuSEwFazbdnpCMTfP,Indian sad song,india,sad,1
